"lma"	"mode"
"182"	57.6564100352758	"Canopy"
"183"	98.6629887340828	"Canopy"
"184"	84.8808285390152	"Canopy"
"185"	93.8295588746567	"Canopy"
"186"	64.19612147243	"Canopy"
"187"	100.262834237416	"Canopy"
"188"	182.770792459947	"Understory"
"189"	NA	"Canopy"
"190"	101.811075499889	"Canopy"
"191"	104.111374265357	"Canopy"
"192"	72.6985631922853	"Canopy"
"193"	64.7398348165704	"Canopy"
"194"	110.265633792053	"Canopy"
"195"	78.0696477658472	"Canopy"
"196"	96.9323296388668	"Canopy"
"197"	58.190419868523	"Understory"
"198"	85.3053223957783	"Canopy"
"199"	87.0367681256594	"Canopy"
"200"	117.977528092539	"Canopy"
"201"	104.164283170859	"Canopy"
"202"	150.244561757308	"Canopy"
"203"	164.750428376197	"Canopy"
"204"	76.6000578964686	"Canopy"
"205"	137.162321683332	"Transient"
"206"	75.0178371411727	"Canopy"
"207"	77.4825406208631	"Canopy"
"208"	108.764669196708	"Canopy"
"209"	115.283550716383	"Canopy"
"210"	36.8769885710959	"Canopy"
"211"	67.5767932609675	"Canopy"
"212"	NA	"Canopy"
"213"	67.0362655752512	"Understory"
"214"	63.5978381647321	"Canopy"
"215"	53.1576802853305	"Canopy"
"216"	94.1511636324967	"Canopy"
"217"	100.636189089453	"Canopy"
"218"	69.8613389768702	"Understory"
"219"	108.510124017141	"Canopy"
"220"	70.276501581301	"Canopy"
"221"	85.2783963991095	"Canopy"
"222"	56.892714539094	"Transient"
"223"	70.732912776701	"Transient"
"224"	76.4551487701174	"Transient"
"225"	57.370839252529	"Canopy"
"226"	78.543427592641	"Canopy"
"227"	82.6217434467348	"Canopy"
"228"	88.7029116047722	"Transient"
"229"	48.7732904374715	"Understory"
"230"	48.5323151126792	"Transient"
"231"	61.9786388278487	"Understory"
"232"	86.4439849789123	"Transient"
"233"	82.9844096160648	"Understory"
"234"	94.1976759858349	"Canopy"
"235"	68.7337323064389	"Canopy"
"236"	85.7737547660487	"Canopy"
"237"	81.8244175677817	"Canopy"
"238"	89.2154021138328	"Canopy"
"239"	80.2605087245087	"Canopy"
"240"	65.5067852291703	"Canopy"
"241"	47.1394491573219	"Canopy"
"242"	57.6746111584492	"Canopy"
"243"	90.5670187851375	"Canopy"
"244"	83.3204880914192	"Canopy"
"245"	90.510034716762	"Canopy"
"246"	63.8535548042118	"Canopy"
"247"	59.973226248563	"Canopy"
"248"	73.8471232657437	"Canopy"
"249"	68.3998219388475	"Canopy"
"250"	59.1730167701436	"Canopy"
"251"	74.0287014442703	"Canopy"
"252"	71.3049101750512	"Canopy"
"253"	49.1795949477676	"Canopy"
"254"	59.9636548535057	"Canopy"
"255"	77.0829416668772	"Canopy"
"256"	39.8098451218358	"Canopy"
"257"	124.906575564727	"Canopy"
"258"	43.8695730551864	"Canopy"
"259"	41.5406619652203	"Canopy"
"260"	48.1976996068906	"Canopy"
"261"	87.4180830604158	"Canopy"
"262"	55.5593249779587	"Canopy"
"263"	54.3814515571008	"Transient"
"264"	59.0058984910093	"Transient"
"265"	106.037984490564	"Canopy"
"266"	86.6546653363593	"Understory"
"267"	27.7902959320194	"Canopy"
"268"	107.893616892449	"Canopy"
"269"	122.710968732181	"Canopy"
"270"	55.9209054713014	"Understory"
"271"	96.4167419758555	"Understory"
"272"	118.386353578883	"Canopy"
"273"	135.508619138531	"Canopy"
"274"	62.1804356595245	"Canopy"
"275"	82.7370184079209	"Transient"
"276"	79.8858200282462	"Canopy"
"277"	70.2790564591382	"Canopy"
"278"	79.6976509578033	"Large Canopy"
"279"	54.0254233831424	"Large Canopy"
"280"	106.436339223312	"Large Canopy"
"281"	98.4893127144027	"Large Canopy"
"282"	44.1012880492088	"Canopy"
"283"	76.6140080584989	"Large Canopy"
"284"	68.7477622130759	"Large Canopy"
"285"	88.8257384472694	"Canopy"
"286"	98.3479984147994	"Canopy"
"287"	81.9105449156092	"Understory"
"288"	83.8586857068528	"Understory"
"289"	74.129498723483	"Canopy"
"290"	73.9242719580643	"Canopy"
"291"	46.8208134166899	"Canopy"
"292"	84.0379377975488	"Canopy"
"293"	62.6133596483759	"Large Canopy"
"294"	59.017451940941	"Understory"
"295"	61.3972025575408	"Canopy"
"296"	114.106743374977	"Canopy"
"297"	71.451169749357	"Large Canopy"
"298"	135.013442957732	"Canopy"
"299"	87.762633432399	"Canopy"
"300"	NA	"Transient"
"301"	69.5360902589355	"Transient"
"302"	142.139836062881	"Understory"
"303"	65.3965728385828	"Understory"
"304"	111.488724399275	"Canopy"
"305"	73.3219391430955	"Canopy"
"306"	132.79099335123	"Understory"
"307"	65.8448292588926	"Understory"
"308"	51.7766882969598	"Canopy"
"309"	74.1181340655391	"Canopy"
"310"	133.735179141301	"Canopy"
"311"	91.1017572948664	"Transient"
"312"	79.3508147965829	"Canopy"
"313"	90.7212621851798	"Canopy"
"314"	99.0371857347689	"Canopy"
"315"	139.509325164832	"Canopy"
"316"	82.7115789525784	"Transient"
"317"	37.8274720901657	"Canopy"
"318"	83.2764442795704	"Canopy"
"319"	101.734004196846	"Canopy"
"320"	71.6049073612693	"Canopy"
"321"	84.3353729219193	"Canopy"
"322"	94.7670023322102	"Understory"
"323"	83.9829316516215	"Understory"
"324"	95.8347586118221	"Understory"
"325"	69.182841635796	"Understory"
"326"	91.7880935793052	"Understory"
"327"	50.6260197171995	"Understory"
"328"	66.2448418164098	"Canopy"
"329"	59.723051453566	"Understory"
"330"	66.9813244774306	"Understory"
"331"	46.0152915200644	"Understory"
"332"	60.0334522605028	"Transient"
"333"	86.8867669271374	"Understory"
"334"	38.6927603703703	"Transient"
"335"	73.0967300753803	"Understory"
"336"	118.367257662808	"Understory"
"337"	NA	"Understory"
"338"	92.0348695492191	"Canopy"
"339"	79.2619869472248	"Canopy"
"340"	60.4655204868557	"Canopy"
"341"	85.4034984791601	"Canopy"
"342"	104.094423120192	"Canopy"
"343"	113.354380972525	"Canopy"
"344"	92.0805486053746	"Understory"
"345"	135.965233570127	"Understory"
"346"	64.4764701794166	"Canopy"
"347"	123.377008365765	"Understory"
"348"	52.8886995593326	"Canopy"
"349"	77.5598807729657	"Canopy"
"350"	45.8933408231021	"Canopy"
"351"	100.786747559916	"Canopy"
"352"	78.373402232896	"Canopy"
"353"	113.429059025322	"Canopy"
"354"	116.350423843052	"Canopy"
"355"	98.6361168860119	"Canopy"
"356"	89.5474740249732	"Understory"
"357"	52.697375031557	"Understory"
"358"	113.451261997792	"Transient"
"359"	90.3761304615811	"Transient"
"360"	96.0939894849901	"Transient"
"361"	96.758354486669	"Transient"
"362"	92.0191437730935	"Understory"
"363"	67.7720044749963	"Understory"
"364"	73.4150091020405	"Understory"
"365"	94.7857690625456	"Canopy"
"366"	112.374024891761	"Transient"
"367"	85.1725948491875	"Canopy"
"368"	85.1460715554558	"Understory"
"369"	67.8373950692106	"Canopy"
"370"	60.5861856933923	"Canopy"
"371"	37.8575732834193	"Understory"
"372"	87.533999978155	"Canopy"
"373"	36.5671073707387	"Transient"
"374"	90.7863337552386	"Canopy"
"375"	69.3879174329495	"Canopy"
"376"	77.8003101307083	"Canopy"
"377"	78.2370031769082	"Canopy"
"378"	53.2901699157228	"Canopy"
"379"	83.0589009106017	"Transient"
"380"	NA	"Understory"
"381"	111.298451781506	"Canopy"
"382"	112.544843088974	"Canopy"
"383"	61.3767019751018	"Canopy"
"384"	66.9167259508151	"Large Canopy"
"385"	73.526011511053	"Canopy"
"386"	53.0729179699938	"Canopy"
"387"	51.3243703310044	"Understory"
"388"	79.237644354467	"Canopy"
"389"	70.0454978079419	"Understory"
"390"	62.4383486866985	"Canopy"
"391"	44.2090350072926	"Understory"
"392"	87.6369482653136	"Canopy"
"393"	62.7940370028934	"Canopy"
"394"	129.413822228837	"Canopy"
"395"	105.758282572162	"Canopy"
"396"	85.4883240021431	"Canopy"
"397"	102.395472973265	"Canopy"
"398"	86.4224515047694	"Canopy"
"399"	92.9323834172938	"Understory"
"400"	NA	"Transient"
"401"	73.6229350874165	"Canopy"
"402"	80.7869827081652	"Canopy"
"403"	NA	"Canopy"
"404"	75.6797014594402	"Canopy"
"405"	145.429290278033	"Canopy"
"406"	99.8185568147212	"Transient"
"407"	51.7656744851134	"Canopy"
"408"	75.655212821764	"Canopy"
"409"	85.217640374021	"Canopy"
"410"	52.9973845239565	"Canopy"
"411"	64.8496884252946	"Canopy"
"412"	70.5463892840864	"Canopy"
"413"	158.854935474499	"Canopy"
"414"	62.0968170103053	"Large Canopy"
"415"	93.9785267317733	"Understory"
"416"	96.571435899821	"Transient"
"417"	72.6497566521572	"Understory"
"418"	44.0828545167924	"Understory"
"419"	79.2259195404283	"Understory"
"420"	104.535953173361	"Canopy"
"421"	94.7846582515166	"Canopy"
"422"	92.1346159008704	"Canopy"
"423"	97.7371865077544	"Canopy"
"424"	88.9710031934362	"Canopy"
"425"	51.5804335891171	"Understory"
"426"	126.251770045082	"Understory"
"427"	76.2611418853332	"Canopy"
"428"	80.9847439060584	"Canopy"
"429"	85.4452628179053	"Understory"
